page,id,linh_vuc,ten_van_ban,so_hieu,ngay_ban_hanh,ngay_hieu_luc,co_quan_ban_hanh,loai,tinh_trang,pdf_url,download_status
27,0219,"Thi đua, khen thưởng","Hướng dẫn xét, công nhận sáng kiến; phạm vi ảnh hưởng của sáng kiến, đề tài nghiên cứu khoa học làm sơ sở xét danh hiệu thi đua, khen thưởng hằng năm",2851/BGDĐT-TĐKT,12/07/2021,12/07/2021,Bộ Giáo dục và Đào tạo,Công văn,Còn hiệu lực,"http://dut.udn.vn/Files/admin/files/VanbanPhapquy/2851_BGDĐT_Huong dan xet cong nhan sang kien, pham vi anh huong cua de tai sang kien.pdf",DOWNLOADED
27,0055,"Tổ chức, hành chính","Chiến lược phát triển của Trường Đại học Bách khoa, Đại học Đà Nẵng đến năm 2025 tầm nhìn đến năm 2035",1838/QĐ-ĐHBK,09/07/2021,09/07/2021,Trường Đại học Bách khoa,"Quyết định, Quy định",Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/36. P.TCHC_ Quyet dinh_1838_QĐ-ĐHBK_ Chien luoc phat trien cua Truong DHBK-DHDN den nam 2025.PDF,DOWNLOADED
28,"ID LĨNH VỰC TÊN VĂN BẢN SỐ HIỆU NGÀY BAN HÀNH NGÀY HIỆU LỰC CƠ QUAN BAN HÀNH LOẠI TÌNH TRẠNG TẢI VỀ 0173 Tổ chức, hành chính Quyết định 2390/QĐ-ĐHĐN Quy chế nâng bậc lương trước thời hạn do lập thành tích xuất sắc trong thực hiện nhiệm vụ đối với viên chức và người lao động của ĐHĐN 2390/QĐ-ĐHĐN 01/07/2021 01/07/2021 Đại học Đà Nẵng Quyết định, Quy định Còn hiệu lực 0154 Tuyển sinh Thông tư 18/2021/TT-BGDĐT về Quy chế tuyển sinh và đào tạo trình độ tiến sĩ do Bộ trưởng Bộ Giáo dục và Đào tạo ban hành 18/2021/TT-BGDĐT 28/06/2021 15/08/2021 Bộ Giáo dục và Đào tạo Thông tư Còn hiệu lực 0146 Đào tạo Thông tư 17/2021/TT-BGDĐT Thông tư 17/2021/TT-BGDĐT quy định về chuẩn chương trình đào tạo; xây dựng, thẩm định và chương trình đào tạo các trình độ của giáo dục đại học do Bộ Giáo dục và Đào tạo ban hành 17/2021/TT-BGDĐT 22/06/2021 07/08/2021 Bộ Giáo dục và Đào tạo Thông tư Còn hiệu lực 0111 Tài chính, kế toán Nghị định 60/2021/NĐ-CP Nghị định về cơ chế tự chủ tài chính của đơn vị sự nghiệp công lập 60/2021/NĐ-CP 21/06/2021 15/08/2021 Chính phủ Nghị định Còn hiệu lực 0061 Đào tạo Hướng dẫn Đánh giá đồ án, luận văn, luận án tốt nghiệp theo hình thức trực tuyến của Trường Đại học Bách khoa, Đại học Đà Nẵng 1606/HD-ĐHBK 15/06/2021 15/06/2021 Trường Đại học Bách khoa Hướng dẫn Còn hiệu lực 0004 Công tác sinh viên Phê duyệt danh sách các xã khu vực III, khu vực II, khu vực I thuộc vùng đồng bào dân tộc thiểu số và miền núi giai đoạn 2021-2025. 861/QĐ-TTg 04/06/2021 04/06/2021 Thủ tướng Chính phủ Quyết định, Quy định Còn hiệu lực 0174 Đào tạo Quyết định 2058/QĐ-ĐHĐN Quy định tổ chức đánh giá đồ án, khoá luận, luận văn, luận án tốt nghiệp cho sinh viên, học viên và nghiên cứu sinh của ĐHĐN theo hình thức trực tuyến 2058/QĐ-ĐHĐN 04/06/2021 04/06/2021 Đại học Đà Nẵng Quyết định, Quy định Còn hiệu lực 0033 Đào tạo Quy định mời thỉnh giảng và quản lý công tác thỉnh giảng tại Trường Đại học Bách khoa, Đại học Đà Nẵng 1562/QĐ-ĐHBK 02/06/2021 02/06/2021 Trường Đại học Bách khoa Quyết định, Quy định Còn hiệu lực 0052 Học liệu, truyền thông Quy chế tổ chức và hoạt động của Trung tâm Học liệu và Truyền thông, Trường Đại học Bách khoa, Đại học Đà Nẵng 1474/QĐ-ĐHBK 21/05/2021 21/05/2021 Trường Đại học Bách khoa Quyết định, Quy định Còn hiệu lực 0053 Học liệu, truyền thông Quy chế phát ngôn và cung cấp thông tin cho báo chí của Trường Đại học Bách khoa, Đại học Đà Nẵng 1475/QĐ-ĐHBK 21/05/2021 21/05/2021 Trường Đại học Bách khoa Quyết định, Quy định Còn hiệu lực",ID,LĨNH VỰC,TÊN VĂN BẢN,SỐ HIỆU,NGÀY BAN HÀNH,NGÀY HIỆU LỰC,CƠ QUAN BAN HÀNH,LOẠI,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/26_TTHL-TT_1475%20QD%20Ban%20hanh%20Quy%20che%20phat%20ngon%20va%20cung%20cap%20thong%20tin%20cho%20bao%20chi%20cua%20Truong%20DHBK-DHDN.PDF,DOWNLOADED
28,ID,LĨNH VỰC,TÊN VĂN BẢN,SỐ HIỆU,NGÀY BAN HÀNH,NGÀY HIỆU LỰC,CƠ QUAN BAN HÀNH,LOẠI,TÌNH TRẠNG,,NO_PDF
28,0173,"Tổ chức, hành chính",Quyết định 2390/QĐ-ĐHĐN Quy chế nâng bậc lương trước thời hạn do lập thành tích xuất sắc trong thực hiện nhiệm vụ đối với viên chức và người lao động của ĐHĐN,2390/QĐ-ĐHĐN,01/07/2021,01/07/2021,Đại học Đà Nẵng,"Quyết định, Quy định",Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/2021m12_100000000.533424DHDN_CVDi_QD_2390_Quyche_nang_bac_luong_truoc_thoi_han_0001.pdf,DOWNLOADED
28,0154,Tuyển sinh,Thông tư 18/2021/TT-BGDĐT về Quy chế tuyển sinh và đào tạo trình độ tiến sĩ do Bộ trưởng Bộ Giáo dục và Đào tạo ban hành,18/2021/TT-BGDĐT,28/06/2021,15/08/2021,Bộ Giáo dục và Đào tạo,Thông tư,Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/2022m1_100000000.533424PBQPPL_CVD_480305.pdf,DOWNLOADED
28,0146,Đào tạo,"Thông tư 17/2021/TT-BGDĐT Thông tư 17/2021/TT-BGDĐT quy định về chuẩn chương trình đào tạo; xây dựng, thẩm định và chương trình đào tạo các trình độ của giáo dục đại học do Bộ Giáo dục và Đào tạo ban hành",17/2021/TT-BGDĐT,22/06/2021,07/08/2021,Bộ Giáo dục và Đào tạo,Thông tư,Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/2022m1_100000000.301948PBQPPL_CVD_450547.pdf,DOWNLOADED
28,0111,"Tài chính, kế toán",Nghị định 60/2021/NĐ-CP Nghị định về cơ chế tự chủ tài chính của đơn vị sự nghiệp công lập,60/2021/NĐ-CP,21/06/2021,15/08/2021,Chính phủ,Nghị định,Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/2022m1_100000000.3206109PBQPPL_CVD_478766.pdf,DOWNLOADED
28,0061,Đào tạo,"Hướng dẫn Đánh giá đồ án, luận văn, luận án tốt nghiệp theo hình thức trực tuyến của Trường Đại học Bách khoa, Đại học Đà Nẵng",1606/HD-ĐHBK,15/06/2021,15/06/2021,Trường Đại học Bách khoa,Hướng dẫn,Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/42. P. Dao tao. 1606 HD Danh gia do an luan van luan an tot nghiep theo hinh thuc truc tuyen.PDF,DOWNLOADED
28,0004,Công tác sinh viên,"Phê duyệt danh sách các xã khu vực III, khu vực II, khu vực I thuộc vùng đồng bào dân tộc thiểu số và miền núi giai đoạn 2021-2025.",861/QĐ-TTg,04/06/2021,04/06/2021,Thủ tướng Chính phủ,"Quyết định, Quy định",Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/4.Quyet%20dinh%20_861_QĐ-TTg_Phe%20duyet%20chinh%20sach%20cac%20xa%20khu%20vuc%20III%2C%20khu%20vuc%20I...pdf,DOWNLOADED
